"id","date","polity","event","confidence","core_sources","modern_direction","cause","consequence","target","source_caveat","tier"
"WZ-1046-MUYE","约前1046年","周与商","牧野之战，商亡","综合估算","尚书·牧誓；史记·周本纪；利簋","Shaughnessy 金文与传世材料；断代工程争议","商末多线压力与周方联盟","周必须接管东方旧商网络","states/royal-court/foundation-and-regency.tex","传世叙事与出土或物质材料可交叉核对最小事实；器物、文本的年代与出土语境，以及其同叙事的对应，仍须逐项核验。","A"
"WZ-1043-WUWANG-DEATH","约前1043年","周","武王死，成王年幼","综合估算","史记·周本纪；尚书·金縢","周初王年与继承研究","征服后继承安排脆弱","周公摄政与三监危机","states/royal-court/foundation-and-regency.tex","后出史学编纂可维系事件序列；其取舍、正统叙事与人物塑形不能单独确证动机、数字或细节。","C"
"WZ-1040-DONGZHENG","约前1042—前1036年","周与东方诸方","三监之乱、周公东征","相对次序可靠","尚书·大诰、康诰、酒诰、梓材；史记；大盂鼎","周初东征与殷遗民安置研究","幼主摄政、旧商势力与宗室不信任","重组东方控制与封国网络","states/royal-court/foundation-and-regency.tex","传世叙事与出土或物质材料可交叉核对最小事实；器物、文本的年代与出土语境，以及其同叙事的对应，仍须逐项核验。","C"
"WZ-EAST-CHENGZHOU","约前1040年","周","营建成周与东方安置","相对次序可靠","尚书·召诰、洛诰；何尊；逸周书·作雒","何尊、洛阳考古与双都研究","东征后需控制东方并安置殷遗民","宗周—成周双中心与东方网络","states/eastern-network/settlement-and-enfeoffment.tex","传世文献可保存政治语言或仪式传统；成文、传本与语境层次须辨明，不能直接还原事件现场。","A"
"WZ-CHENGKANG-CONSOLIDATION","成王、康王时期","周","周初秩序巩固、王命与赏赐网络","王年细节有争议","何尊；大盂鼎；史记·周本纪","西周早期金文、王命册命与政治网络研究","东征后需把临时胜利转为可反复确认的城邑、封国与受命关系","宗周—成周双中心及封国网络得以运转；维系成本同时累积","states/royal-court/cheng-kang-mu.tex","传世叙事与出土或物质材料可交叉核对最小事实；器物、文本的年代与出土语境，以及其同叙事的对应，仍须逐项核验。","C"
"WZ-MU-TRAVELS","穆王时期","周","巡行、征伐与王权远方记忆","材料层次不一","西周中期王命、军旅金文；史记·周本纪；穆天子传","穆天子传的文本层累与西周巡行、政治网络研究","王室须以巡行、军政行动和赏赐维系远方政治体对中心的感知","后世形成强王西行想象；跨区域王权的转运、接待与征调成本显形","states/royal-court/cheng-kang-mu.tex","传世叙事与出土或物质材料可交叉核对最小事实；器物、文本的年代与出土语境，以及其同叙事的对应，仍须逐项核验。","B"
"WZ-0977-ZHAONAN","昭王在位晚期","周与南方政治体","昭王南征失利，丧师汉水","王年推定","史记·周本纪；竹书纪年；左传昭公十三年","南方铜器与周楚关系研究","南方资源、威望与政治控制需求","军力与王权威望受损","frontiers/southern-expansion.tex","传世叙事保存事件顺序与政治记忆；成书、编纂与文学化使对白、动机、数字和精确细节不可视为现场记录。","C"
"WZ-XUAN-REVIVAL","前828年以后","周","料民、对玁狁战争与中兴尝试","即位年较可靠；战事与行政细节有争议","国语·周语上；诗经·小雅·六月、出车、采薇；史记·周本纪；西周晚期金文","晚西周边疆、人口控制与《诗经》军旅诗研究","共和后重建、兵源税源与西北边防压力","危机被暂时延缓但未消除；西周晚期动员成本持续","frontiers/western-pressure.tex","传世叙事与出土或物质材料可交叉核对最小事实；器物、文本的年代与出土语境，以及其同叙事的对应，仍须逐项核验。","B"
"WZ-0841-GONGHE","前841年","周","厉王出奔与共和行政","可靠纪年","国语·周语上；史记·周本纪；竹书纪年","共和与共伯和争论；晚西周贵族政治","资源政策、表达压制和中心信任危机","连续纪年锚点；王权受制信号","states/royal-court/late-crises.tex","传世叙事保存事件顺序与政治记忆；成书、编纂与文学化使对白、动机、数字和精确细节不可视为现场记录。","A"
"WZ-0828-XUAN-ACCESSION","前828年","周","宣王即位","可靠纪年","史记·周本纪；竹书纪年","西周王年与共和后继承研究","共和结束后的继承重建","中兴叙事与边防动员","frontiers/western-pressure.tex","后出史学编纂可维系事件序列；其取舍、正统叙事与人物塑形不能单独确证动机、数字或细节。","B"
"WZ-0771-HAOJING","前771年","周、申、犬戎等","镐京陷落，幽王死","可靠纪年","国语·周语；左传昭公二十六年；史记·周本纪；诗经小雅","Li Feng 西周危机；烽火传说辨伪","继承危机、军事分权、边疆压力和申侯联盟","西周结束，王室东迁","states/royal-court/late-crises.tex","传世叙事保存事件顺序与政治记忆；成书、编纂与文学化使对白、动机、数字和精确细节不可视为现场记录。","A"
"SA-0770-EAST","前770年","东周","平王东迁洛邑","可靠纪年","史记·周本纪；竹书纪年","东周初年政治合法性研究","镐京无法恢复，关中失守","周成礼仪中心，春秋开始","../spring-autumn/common/chronology-770-632.tex","后出史学编纂可维系事件序列；其取舍、正统叙事与人物塑形不能单独确证动机、数字或细节。","A"
"WZ-1030S-ZHOUGONG-RETURN","周初东征后（约前11世纪中叶；绝对年不定）","周","周公归政成王，摄政安排结束","相对次序可靠；具体年分歧大","尚书·金縢；史记·周本纪；逸周书相关篇章","周初摄政叙事的文本层累；金文与传世文献互证","触发因素：东征与东方重组告一段落；制度条件：成年王须亲自承接册命与祭祀权威","直接后果：王权由摄政转入成王亲政；中期影响：周公的摄政先例成为后世解释王权与宗支关系的资源","states/royal-court/foundation-and-regency.tex","后出史学编纂可维系事件序列；其取舍、正统叙事与人物塑形不能单独确证动机、数字或细节。","C"
"WZ-EAST-ENFEOFFMENT","周初至成康时期","周与东方封国","以宗亲、功臣及旧商贵族为节点重组封国网络","总体过程可靠；各国始封时间与受封者常有争议","尚书·康诰、酒诰、梓材；史记相关世家；鲁侯簋、燕侯等金文；鲁、燕、齐及琉璃河等考古","分封概念的再检讨；封国、迁民与地方社会的考古比较","结构性原因：征服者需在交通和文书能力有限时连接东方；使能条件：宗族关系、军事驻屯与旧商人群的重新编入","直接后果：地方精英获得可继承的政治节点；中期影响：王室可借封国经营东方，也须长期付出册命、赏赐与调停成本","states/eastern-network/enfeoffment-network.tex","传世叙事与出土或物质材料可交叉核对最小事实；器物、文本的年代与出土语境，以及其同叙事的对应，仍须逐项核验。","B"
"WZ-CHENG-ROYAL-CEREMONY","成王时期（约前11世纪中叶；绝对年不定）","周","成王在成周举行告成、册命与东方经营仪式","相对次序较可靠；对应单一年份不可确证","尚书·召诰、洛诰；逸周书·作雒；何尊","成周营建阶段与《召诰》《洛诰》成文层次研究","触发因素：成周建设与东方安置需要可见的王室确认；政治条件：新城须被纳入宗庙、朝会和命令网络","直接后果：成周成为王室在东方行使仪式与政治权威的场所；中期影响：宗周—成周双中心格局更为稳定","states/eastern-network/chengzhou-and-eastern-settlement.tex","传世文献可保存政治语言或仪式传统；成文、传本与语境层次须辨明，不能直接还原事件现场。","B"
"WZ-HE-ZUN","成王时期说（绝对年与王年仍有讨论）","周","何尊铸铭，留下“宅兹中国”及王命活动的早期记录","器铭可靠；释文、王年与所指空间有争议","何尊铭文及器物考古资料；尚书·召诰、洛诰","何尊释读与“中国”语义史；早期西周王都空间研究","使能条件：册命、祭祀与赏赐需以青铜礼器保存政治记忆","直接后果：为王室东向经营和王命仪式提供同时代材料；中期影响：后世以单一词语概括早周疆域时须警惕语境差异","states/eastern-network/bronze-evidence-and-institutional-balance.tex","传世叙事与出土或物质材料可交叉核对最小事实；器物、文本的年代与出土语境，以及其同叙事的对应，仍须逐项核验。","B"
"WZ-KANG-ACCESSION","康王初立（约前11世纪末；绝对年依王年体系而异）","周","成王死后康王继位，早周王位再度交接","相对次序可靠；绝对年代为推算","史记·周本纪；今本竹书纪年；大盂鼎等早周金文","西周王年重建；成康政治稳定叙事的证据边界","触发因素：成王死后需完成宗庙与朝廷认可的继承；结构性条件：周初网络尚依王室持续册命维系","直接后果：王命、赏赐和征伐得以延续；中期影响：“成康之治”的后世叙事遮蔽了其具体行政成本","states/royal-court/cheng-kang-mu.tex","传世叙事与出土或物质材料可交叉核对最小事实；器物、文本的年代与出土语境，以及其同叙事的对应，仍须逐项核验。","B"
"WZ-KANG-GUIFANG","康王时期说（具体王年未定）","周与鬼方等北方政治体","王室组织对鬼方的军事行动","金文所记行动可靠；敌名、规模与地望有争议","小盂鼎铭文；史记·周本纪相关叙述","鬼方名称、北方地理与西周早期战争动员研究","结构性原因：北方通道和牧业边缘的安全、资源与威望竞争；使能条件：王室可动员贵族军队与后勤","直接后果：战争功劳被转化为赏赐与礼器记忆；中期影响：北方防务成为王室常态化负担，而非一次性平定","frontiers/western-pressure.tex","传世叙事与出土或物质材料可交叉核对最小事实；器物、文本的年代与出土语境，以及其同叙事的对应，仍须逐项核验。","B"
"WZ-DA-YU-DING","康王时期说（具体年代仍有讨论）","周","大盂鼎铸成，记录王命、赏赐与对贵族的训诫","器铭可靠；王名、制度术语与情境解释有争议","大盂鼎铭文及器物资料","早周册命、族权与礼器政治；金文制度语汇研究","使能条件：王室以册命、财物和祖先祭祀确认贵族责任与地位","直接后果：王命可被受命者家族长期保存并重述；中期影响：金文成为理解早周权力并非纯粹口头命令的重要证据","states/royal-court/cheng-kang-mu.tex","出土或物质材料可确认器物、称号、文本或局部实践；年代、出土语境和外推范围有限，不能单独复原完整事件过程。","B"
"WZ-MU-DOG-RONG","穆王时期说（王年与战事次序有争议）","周与犬戎等西北政治体","穆王西征及与犬戎相关的征伐记忆","传世记载较晚；具体战事不宜确证","今本竹书纪年；史记·周本纪；穆天子传（后出文本）","穆王西征叙事的形成；“犬戎”泛称与西北考古研究","结构性原因：西北边缘的交通、牧业资源和安全竞争；材料条件：后出叙事将多次接触压缩为王者远征","直接后果：王室西行被写入跨区域权威的记忆；中期影响：不能据此直接画定西周西北疆界或认定单一敌对集团","frontiers/western-pressure.tex","后出史学编纂可维系事件序列；其取舍、正统叙事与人物塑形不能单独确证动机、数字或细节。","B"
"WZ-MID-HUAIYI","西周中期（约前10世纪；王年未定）","周与淮夷等东方、东南政治体","王室和贵族对淮夷方向的征伐与防御","金文所见行动较可靠；连续战争叙事和地望有争议","麦方尊、夨令方尊等金文；史记相关叙述","淮夷名称、东南地理与金文战争记载研究","结构性原因：东南通道、资源与地方政治体并存；使能条件：封国和王室军队可协同或各自行动","直接后果：战功、俘获与赏赐进入贵族铭文；中期影响：东方并未因周初安置而成为无摩擦的腹地","frontiers/southern-expansion.tex","传世叙事与出土或物质材料可交叉核对最小事实；器物、文本的年代与出土语境，以及其同叙事的对应，仍须逐项核验。","B"
"WZ-EASTERN-ROYAL-PRESENCE","西周中期（约前10世纪；连续年代不明）","周与东方封国","王室在成周及东方持续举行册命、朝会和军事调度","过程可靠；单次活动多不能系年","西周中期金文；成周遗址与相关考古；传世周书","双都运作、东方驻守与金文地名网络研究","结构性原因：封国并不替代王室的直接在场；使能条件：成周提供朝会、仓储和调兵的节点","直接后果：东方贵族与王室维持直接联系；中期影响：成周既是整合枢纽，也显出维持跨区域网络的物流与人力成本","states/eastern-network/chengzhou-and-eastern-settlement.tex","出土或物质材料可确认器物、称号、文本或局部实践；年代、出土语境和外推范围有限，不能单独复原完整事件过程。","B"
