"id","date","polity","event","confidence","core_sources","modern_direction","cause","consequence","target","evidence_type","source_locator","source_caveat"
"LIAO-0907-EVENT-026","907年","契丹","耶律阿保机取得汗位，开始重组部族权力","B级｜编年主干可靠；细节、规模与动机须与对方材料、地方文书或考古材料互校","《辽史》相关本纪及志；《宋史》辽国传、同年本纪；宋使行录、契丹／汉文碑刻与考古材料（据事核）","辽代契丹国家、都城、部族与跨境关系研究","“耶律阿保机取得汗位，开始重组部族权力”发生在辽初部族与多都城整合的具体压力与机会之中，相关行动者的选择不能脱离此前事件链解释。","“耶律阿保机取得汗位，开始重组部族权力”为后续政治、边防或资源配置留下条件；其社会影响与实际覆盖范围仍须以异类材料限定。","chapters/liao/chronology-and-frontiers.tex","retrospective_history","《辽史》相关本纪及志；《宋史》辽国传、同年本纪；宋使行录、契丹／汉文碑刻与考古材料（据事核）","《辽史》为元末官修且契丹本方连续文书有限；宋使与碑刻的观察位置不同，战果、族称及制度覆盖范围不得互推。"
"LIAO-0916-EVENT-027","916年","契丹","阿保机称帝并建国号契丹","A级｜编年主干可靠；细节、规模与动机须与对方材料、地方文书或考古材料互校","《辽史》相关本纪及志；《宋史》辽国传、同年本纪；宋使行录、契丹／汉文碑刻与考古材料（据事核）","辽代契丹国家、都城、部族与跨境关系研究","辽初部族与多都城整合中前任统治的结束与宫廷、部族或官僚的权力安排相互交织，促成“阿保机称帝并建国号契丹”这一继承节点。","继承并不自动消除既有矛盾；“阿保机称帝并建国号契丹”后的任官、军权和对外策略需由后续条目追踪。","chapters/liao/chronology-and-frontiers.tex","retrospective_history","《辽史》相关本纪及志；《宋史》辽国传、同年本纪；宋使行录、契丹／汉文碑刻与考古材料（据事核）","《辽史》为元末官修且契丹本方连续文书有限；宋使与碑刻的观察位置不同，战果、族称及制度覆盖范围不得互推。"
"LIAO-0926-EVENT-028","926年","辽与渤海","辽军攻灭渤海，设置东丹等安排","A级｜编年主干可靠；细节、规模与动机须与对方材料、地方文书或考古材料互校","《辽史》相关本纪及志；《宋史》辽国传、同年本纪；宋使行录、契丹／汉文碑刻与考古材料（据事核）","辽代契丹国家、都城、部族与跨境关系研究","辽初部族与多都城整合中既有的联盟、交通与补给压力，为“辽军攻灭渤海，设置东丹等安排”提供了直接的军事或动员背景。","“辽军攻灭渤海，设置东丹等安排”改变了相关城镇、道路或政权间的军事选择；伤亡、俘获和控制范围仅可按各方材料分别确认。","chapters/liao/chronology-and-frontiers.tex","retrospective_history","《辽史》相关本纪及志；《宋史》辽国传、同年本纪；宋使行录、契丹／汉文碑刻与考古材料（据事核）","《辽史》为元末官修且契丹本方连续文书有限；宋使与碑刻的观察位置不同，战果、族称及制度覆盖范围不得互推。"
"LIAO-0927-EVENT-029","927年","辽","耶律德光即位为辽太宗","C级｜编年主干可靠；细节、规模与动机须与对方材料、地方文书或考古材料互校","《辽史》相关本纪及志；《宋史》辽国传、同年本纪；宋使行录、契丹／汉文碑刻与考古材料（据事核）","辽代契丹国家、都城、部族与跨境关系研究","辽初部族与多都城整合中前任统治的结束与宫廷、部族或官僚的权力安排相互交织，促成“耶律德光即位为辽太宗”这一继承节点。","继承并不自动消除既有矛盾；“耶律德光即位为辽太宗”后的任官、军权和对外策略需由后续条目追踪。","chapters/liao/chronology-and-frontiers.tex","retrospective_history","《辽史》相关本纪及志；《宋史》辽国传、同年本纪；宋使行录、契丹／汉文碑刻与考古材料（据事核）","《辽史》为元末官修且契丹本方连续文书有限；宋使与碑刻的观察位置不同，战果、族称及制度覆盖范围不得互推。"
"LIAO-0936-EVENT-030","936年","辽与后晋","辽支持石敬瑭建立后晋，十六州问题进入北方政治结构","B级｜编年主干可靠；细节、规模与动机须与对方材料、地方文书或考古材料互校","《辽史》相关本纪及志；《宋史》辽国传、同年本纪；宋使行录、契丹／汉文碑刻与考古材料（据事核）","辽代契丹国家、都城、部族与跨境关系研究","“辽支持石敬瑭建立后晋，十六州问题进入北方政治结构”发生在辽初部族与多都城整合的具体压力与机会之中，相关行动者的选择不能脱离此前事件链解释。","“辽支持石敬瑭建立后晋，十六州问题进入北方政治结构”为后续政治、边防或资源配置留下条件；其社会影响与实际覆盖范围仍须以异类材料限定。","chapters/liao/chronology-and-frontiers.tex","retrospective_history","《辽史》相关本纪及志；《宋史》辽国传、同年本纪；宋使行录、契丹／汉文碑刻与考古材料（据事核）","《辽史》为元末官修且契丹本方连续文书有限；宋使与碑刻的观察位置不同，战果、族称及制度覆盖范围不得互推。"
"LIAO-0938-EVENT-031","938年","辽","辽以幽州为南京，经营燕云城市与交通节点","B级｜编年主干可靠；细节、规模与动机须与对方材料、地方文书或考古材料互校","《辽史》相关本纪及志；《宋史》辽国传、同年本纪；宋使行录、契丹／汉文碑刻与考古材料（据事核）","辽代契丹国家、都城、部族与跨境关系研究","“辽以幽州为南京，经营燕云城市与交通节点”发生在辽初部族与多都城整合的具体压力与机会之中，相关行动者的选择不能脱离此前事件链解释。","“辽以幽州为南京，经营燕云城市与交通节点”为后续政治、边防或资源配置留下条件；其社会影响与实际覆盖范围仍须以异类材料限定。","chapters/liao/chronology-and-frontiers.tex","retrospective_history","《辽史》相关本纪及志；《宋史》辽国传、同年本纪；宋使行录、契丹／汉文碑刻与考古材料（据事核）","《辽史》为元末官修且契丹本方连续文书有限；宋使与碑刻的观察位置不同，战果、族称及制度覆盖范围不得互推。"
"LIAO-0947-EVENT-032","947年","辽与后晋","辽军进入开封，后因补给与抵抗压力撤离","B级｜编年主干可靠；细节、规模与动机须与对方材料、地方文书或考古材料互校","《辽史》相关本纪及志；《宋史》辽国传、同年本纪；宋使行录、契丹／汉文碑刻与考古材料（据事核）","辽代契丹国家、都城、部族与跨境关系研究","“辽军进入开封，后因补给与抵抗压力撤离”发生在辽初部族与多都城整合的具体压力与机会之中，相关行动者的选择不能脱离此前事件链解释。","“辽军进入开封，后因补给与抵抗压力撤离”为后续政治、边防或资源配置留下条件；其社会影响与实际覆盖范围仍须以异类材料限定。","chapters/liao/chronology-and-frontiers.tex","retrospective_history","《辽史》相关本纪及志；《宋史》辽国传、同年本纪；宋使行录、契丹／汉文碑刻与考古材料（据事核）","《辽史》为元末官修且契丹本方连续文书有限；宋使与碑刻的观察位置不同，战果、族称及制度覆盖范围不得互推。"
"LIAO-0969-EVENT-033","969年","辽","辽景宗即位，萧绰逐步取得政治作用","C级｜编年主干可靠；细节、规模与动机须与对方材料、地方文书或考古材料互校","《辽史》相关本纪及志；《宋史》辽国传、同年本纪；宋使行录、契丹／汉文碑刻与考古材料（据事核）","辽代契丹国家、都城、部族与跨境关系研究","辽初部族与多都城整合中前任统治的结束与宫廷、部族或官僚的权力安排相互交织，促成“辽景宗即位，萧绰逐步取得政治作用”这一继承节点。","继承并不自动消除既有矛盾；“辽景宗即位，萧绰逐步取得政治作用”后的任官、军权和对外策略需由后续条目追踪。","chapters/liao/chronology-and-frontiers.tex","retrospective_history","《辽史》相关本纪及志；《宋史》辽国传、同年本纪；宋使行录、契丹／汉文碑刻与考古材料（据事核）","《辽史》为元末官修且契丹本方连续文书有限；宋使与碑刻的观察位置不同，战果、族称及制度覆盖范围不得互推。"
"LIAO-0979-EVENT-034","979年","辽与宋","辽军在高梁河击退北伐宋军","B级｜编年主干可靠；细节、规模与动机须与对方材料、地方文书或考古材料互校","《辽史》相关本纪及志；《宋史》辽国传、同年本纪；宋使行录、契丹／汉文碑刻与考古材料（据事核）","辽代契丹国家、都城、部族与跨境关系研究","辽初部族与多都城整合中既有的联盟、交通与补给压力，为“辽军在高梁河击退北伐宋军”提供了直接的军事或动员背景。","“辽军在高梁河击退北伐宋军”改变了相关城镇、道路或政权间的军事选择；伤亡、俘获和控制范围仅可按各方材料分别确认。","chapters/liao/chronology-and-frontiers.tex","retrospective_history","《辽史》相关本纪及志；《宋史》辽国传、同年本纪；宋使行录、契丹／汉文碑刻与考古材料（据事核）","《辽史》为元末官修且契丹本方连续文书有限；宋使与碑刻的观察位置不同，战果、族称及制度覆盖范围不得互推。"
"LIAO-0982-EVENT-035","982年","辽","辽圣宗即位，萧太后摄政","C级｜编年主干可靠；细节、规模与动机须与对方材料、地方文书或考古材料互校","《辽史》相关本纪及志；《宋史》辽国传、同年本纪；宋使行录、契丹／汉文碑刻与考古材料（据事核）","辽代契丹国家、都城、部族与跨境关系研究","辽初部族与多都城整合中前任统治的结束与宫廷、部族或官僚的权力安排相互交织，促成“辽圣宗即位，萧太后摄政”这一继承节点。","继承并不自动消除既有矛盾；“辽圣宗即位，萧太后摄政”后的任官、军权和对外策略需由后续条目追踪。","chapters/liao/chronology-and-frontiers.tex","retrospective_history","《辽史》相关本纪及志；《宋史》辽国传、同年本纪；宋使行录、契丹／汉文碑刻与考古材料（据事核）","《辽史》为元末官修且契丹本方连续文书有限；宋使与碑刻的观察位置不同，战果、族称及制度覆盖范围不得互推。"
