"id","date","polity","event","confidence","core_sources","modern_direction","cause","consequence","target","evidence_type","source_locator","source_caveat","year_ce","chronological_band","tier","actioner_representation","spatial_scope","source_caveat_class"
"EQ-1644-SHANHAIGUAN","顺治元年四月（1644年5月，换算待核）","清摄政政权、吴三桂与大顺","清军与吴三桂在山海关击败李自成军，打开进入华北的军事通道","核心战事可靠；吴三桂求援文书原貌、各军兵数和战场过程受清廷与后出叙事塑形","《清世祖实录》顺治元年四月山海关军报；《清史稿·世祖本纪》；《清初内国史院满文档案》顺治元年四月关宁军务档","关宁军、满洲八旗与大顺军的协作及乞师叙事文本层累","李自成入北京后关宁军与大顺在兵饷、统属和互信上破裂，多尔衮把危机转为入关机会","清军获得穿越关隘的行动空间，北京政权争夺转为华北与南方的多战区征服","chapters/early-qing/entry-and-regency.tex","annalistic_record","《清世祖实录》顺治元年四月山海关军报；《清史稿·世祖本纪》；《清初内国史院满文档案》顺治元年四月关宁军务档","原有置信注记：核心战事可靠；吴三桂求援文书原貌、各军兵数和战场过程受清廷与后出叙事塑形","1644","1644-1683_conquest_early_kangxi","B","court_and_officials;armed_forces","imperial_or_multi_regional","annalistic_selection_limit"
"EQ-1644-BEIJING-ENTRY","顺治元年五月（1644年6月前后）","清摄政政权与北京","多尔衮率军进入北京并接收明朝京城的行政与礼制空间","入城与接收可靠；城内秩序、迎降者范围和掠夺状况须以不同见证互校","《清世祖实录》顺治元年五月；《清史稿·世祖本纪》；《甲申传信录》及北京地方记事","北京接收、明清鼎革中的城市秩序和遗臣选择","大顺撤离与明廷崩溃留下军政真空，清军需获取京师粮饷、官僚和象征中心","清廷以北京为治所，开始将军事占领转化为对明朝制度资源的继承和重组","chapters/early-qing/entry-and-regency.tex","annalistic_record","《清世祖实录》顺治元年五月；《清史稿·世祖本纪》；《甲申传信录》及北京地方记事","原有置信注记：入城与接收可靠；城内秩序、迎降者范围和掠夺状况须以不同见证互校","1644","1644-1683_conquest_early_kangxi","B","court_and_officials;armed_forces;religious_and_cultural_actors","imperial_or_multi_regional","annalistic_selection_limit"
"EQ-1644-SHUNZHI-BEIJING","顺治元年九月（1644年10月前后）","清","顺治帝自盛京抵北京，清廷举行定都与皇帝入城仪式","日期与仪式主干可靠；官修礼仪记录不能等同各地承认","《清世祖实录》顺治元年九月；《清史稿·世祖本纪》；《清初内国史院满文档案》北京迁都礼仪档","盛京—北京双中心、迁都礼仪与征服合法性","摄政政权虽占北京，仍需皇帝亲临与礼制重置来建立持续中央名义","北京成为皇帝驻跸与部院中心，盛京仍保有满洲政治和象征地位","chapters/early-qing/entry-and-regency.tex","annalistic_record","《清世祖实录》顺治元年九月；《清史稿·世祖本纪》；《清初内国史院满文档案》北京迁都礼仪档","原有置信注记：日期与仪式主干可靠；官修礼仪记录不能等同各地承认","1644","1644-1683_conquest_early_kangxi","A","court_and_officials","imperial_or_multi_regional","annalistic_selection_limit"
"EQ-1644-REGENT-ORDERS","顺治元年冬（1644年）","清摄政政权","多尔衮以摄政王名义整顿京师官署、招降明官并发布安民与征发命令","命令发布可靠；接受任官和地方执行不能从诏令直接推出","《清世祖实录》顺治元年十月至十二月；《清史稿·职官志》；中国第一历史档案馆藏内阁大库顺治元年题本〔京师官署交接〕","征服政权的文书接管、降官网络与命令执行断点","新政权需要恢复行政传递、维持京师粮饷并吸纳明代文官技术","中央可用的部院和任官网络开始恢复，但忠诚、财力与军纪继续限制覆盖面","chapters/early-qing/entry-and-regency.tex","annalistic_record","《清世祖实录》顺治元年十月至十二月；《清史稿·职官志》；中国第一历史档案馆藏内阁大库顺治元年题本〔京师官署交接〕","原有置信注记：命令发布可靠；接受任官和地方执行不能从诏令直接推出","1644","1644-1683_conquest_early_kangxi","B","court_and_officials;armed_forces","imperial_or_multi_regional","annalistic_selection_limit"
"EQ-1645-NANJING-TAKEN","顺治二年四月（1645年5月前后）","清与南明弘光政权","多铎军攻取南京，南明弘光朝的都城失守","城陷日期可靠；守军数量、降附动机和战后暴力须并读南明与地方材料","《清世祖实录》顺治二年四月；《清史稿·世祖本纪》；《南明史料》所收弘光朝奏疏与江宁地方记事","南京失守、江南军政资源与南明合法性危机","清军沿运河与淮扬推进，弘光朝党争、军饷困难和江防失守相互叠加","南明失去首都和财政文化中心，江浙、闽粤的抵抗及另立政权随之分化","chapters/early-qing/southern-conquest.tex","annalistic_record","《清世祖实录》顺治二年四月；《清史稿·世祖本纪》；《南明史料》所收弘光朝奏疏与江宁地方记事","原有置信注记：城陷日期可靠；守军数量、降附动机和战后暴力须并读南明与地方材料","1645","1644-1683_conquest_early_kangxi","A","court_and_officials;armed_forces","imperial_or_multi_regional","annalistic_selection_limit"
"EQ-1645-HONGGUANG-CAPTURE","顺治二年五月（1645年）","清与南明弘光政权","弘光帝朱由崧在芜湖一带被俘并被押往北京","被俘及押解主干可靠；参与者责任和移交地点在纪传、地方记事间有异","《清世祖实录》顺治二年五月；《清史稿·弘光帝本纪》；《明季南略》及江南地方志相关条目","弘光朝崩解、地方军阀与降附网络","南京失守后弘光朝没有持续的军事护卫与统一指挥，逃亡路线被清军和地方武装切断","以弘光名义维系的朝廷失能，隆武、永历政权在东南和西南重建名义中心","chapters/early-qing/southern-conquest.tex","annalistic_record","《清世祖实录》顺治二年五月；《清史稿·弘光帝本纪》；《明季南略》及江南地方志相关条目","原有置信注记：被俘及押解主干可靠；参与者责任和移交地点在纪传、地方记事间有异","1645","1644-1683_conquest_early_kangxi","B","court_and_officials","imperial_or_multi_regional","annalistic_selection_limit"
"EQ-1645-HAIR-ORDER","顺治二年六月（1645年）","清与江南各地","清廷重申薙发易服命令，在江南等地引发服从、逃亡与抵抗","命令文本可靠；各地执行速度和社会反应高度不一，不能以诏书概括全国","《清世祖实录》顺治二年六月；《清史稿·舆服志》；内阁大库顺治二年兵科题本与江南府县志薙发条","征服礼制、身体规训与地方反应差异","清廷以发式服制识别新旧政治归属，军事推进又使命令与治安相互捆绑","服制成为忠降识别和集体动员的触发点，若干江南城镇的冲突加剧征服成本","chapters/early-qing/southern-conquest.tex","annalistic_record","《清世祖实录》顺治二年六月；《清史稿·舆服志》；内阁大库顺治二年兵科题本与江南府县志薙发条","原有置信注记：命令文本可靠；各地执行速度和社会反应高度不一，不能以诏书概括全国","1645","1644-1683_conquest_early_kangxi","B","court_and_officials;local_society_and_elites","local_or_provincial","annalistic_selection_limit"
"EQ-1645-YANGZHOU","顺治二年四—五月（1645年）","清军与扬州","扬州攻陷后发生大规模杀戮与掳掠，规模和持续时间存在重大争议","扬州失陷可靠；死亡数字和“十日”叙事须标为后出见证并与地方材料互证","《清世祖实录》顺治二年四月扬州军报；《清史稿·史可法传》；王秀楚《扬州十日记》与《扬州府志》","征服暴力的叙事、死亡估计与城市记忆","扬州守军扼守清军南下通道，攻城后的军纪、报复和掠夺处于战时权力失控与奖惩机制中","扬州经验在江南传播，既促成恐惧性降附，也强化若干城镇抵抗及后世纪念政治","chapters/early-qing/southern-conquest.tex","annalistic_record","《清世祖实录》顺治二年四月扬州军报；《清史稿·史可法传》；王秀楚《扬州十日记》与《扬州府志》","原有置信注记：扬州失陷可靠；死亡数字和“十日”叙事须标为后出见证并与地方材料互证","1645","1644-1683_conquest_early_kangxi","A","court_and_officials;armed_forces","imperial_or_multi_regional","annalistic_selection_limit"
"EQ-1645-JIANGYIN","顺治二年闰六月至八月（1645年）","清军与江阴地方守军","江阴在薙发命令和清军围攻中失守，地方记忆长期以守城与屠城叙述该事件","城陷主干可靠；围城天数、伤亡和人物言行多依赖地方后出文本","《清世祖实录》顺治二年江南军报；《清史稿·世祖本纪》；《江阴县志》及《江阴城守纪》","江南城镇抵抗、地方文本与屠城数字核验","服制命令与守备危机把行政服从转成军事对抗，清军需确保沿江交通和粮道","清廷以军事压制恢复沿江节点；江阴成为地方忠义记忆，伤亡规模不能由单一叙事定量","chapters/early-qing/southern-conquest.tex","annalistic_record","《清世祖实录》顺治二年江南军报；《清史稿·世祖本纪》；《江阴县志》及《江阴城守纪》","原有置信注记：城陷主干可靠；围城天数、伤亡和人物言行多依赖地方后出文本","1645","1644-1683_conquest_early_kangxi","A","court_and_officials;armed_forces;local_society_and_elites","local_or_provincial","annalistic_selection_limit"
"EQ-1645-ZHEJIANG-CONQUEST","顺治二年六月至十月（1645年）","清与南明鲁王集团、浙江地方势力","清军进取杭州、绍兴等地，南明鲁王政权转入浙东及海上活动","城市失守与鲁王转移可靠；各府实际控制和海岛联系须逐地核查","《清世祖实录》顺治二年六月至十月；《清史稿·鲁王传》；《浙江通志》与鲁王政权文书辑录","浙东海上抵抗、地方士绅与区域控制碎片化","南京失守后浙东军民与明宗室试图保持独立指挥，清军沿水陆节点分割其资源","清廷取得浙江大部城镇，鲁王集团与郑氏网络相连，海疆战争成为长期问题","chapters/early-qing/southern-conquest.tex","annalistic_record","《清世祖实录》顺治二年六月至十月；《清史稿·鲁王传》；《浙江通志》与鲁王政权文书辑录","原有置信注记：城市失守与鲁王转移可靠；各府实际控制和海岛联系须逐地核查","1645","1644-1683_conquest_early_kangxi","B","court_and_officials;armed_forces;maritime_and_foreign_polities;local_society_and_elites","maritime_or_transregional","annalistic_selection_limit"
