id,date,polity,event,confidence,core_sources,modern_direction,cause,consequence,target,evidence_type,source_locator,source_caveat
"EM-1368-DADU","1368（洪武元年）八月","明与北元","徐达军进入大都并改称北平","日期可靠；明廷军报不独证城内损失和居民去留","《太祖实录》洪武元年八月条；《明史·太祖本纪》；《高丽史·恭愍王世家》二十一年条","元明鼎革中的大都接收与北方城市社会研究","明军自山东、河南北上且元顺帝已北撤；大都守备难获外援","元廷失去旧都和华北行政中心；明须经营北平并面对草原残余政权","chapters/early-ming/northern-frontier-and-beiping.tex","annalistic_record","《太祖实录》洪武元年八月条；《明史·太祖本纪》；《高丽史·恭愍王世家》二十一年条","日期可靠；明廷军报不独证城内损失和居民去留"
"EM-1368-FOUNDING","1368（洪武元年）正月","明","朱元璋在应天即皇帝位并建国号明","日期可靠；诏告可证建国程序而不能替代各地归附过程","《太祖实录》洪武元年正月条（即位诏）；《明史·太祖本纪》；南京明故宫遗址考古发掘报告","元末政权转换与应天建都的军政接收研究","红巾军政权分裂而元廷南方控制崩解；朱元璋已控制江南粮赋与应天军政中心","明廷取得颁诏和任官名义；北伐与地方接收须转为连续的行政和军事行动","chapters/early-ming/founding-and-state-building.tex","annalistic_record","《太祖实录》洪武元年正月条（即位诏）；《明史·太祖本纪》；南京明故宫遗址考古发掘报告","日期可靠；诏告可证建国程序而不能替代各地归附过程"
"EM-1368-GUOZIJIAN","1368（洪武元年）九月","明","在南京设国子学以培训中央官员子弟","日期较可靠；学校建置不等于生员规模或教学成效","《太祖实录》洪武元年九月条；《明会典·国子监》；《明史·选举志》","明初国子监与国家培养官僚渠道研究","新朝须为六部和地方官体系补充识字行政人才并重建礼制教育","南京国子监成为明初官学枢纽；科举与荐举的关系仍待后续制度调整","chapters/early-ming/state-building-and-education.tex","annalistic_record","《太祖实录》洪武元年九月条；《明会典·国子监》；《明史·选举志》","日期较可靠；学校建置不等于生员规模或教学成效"
"ML-1368-001","1368（洪武元年）一月18日","明与地方反抗、流动作战集团","红巾起义：胡美攻占福州","编年候选的年序可由官修与后出材料交叉；具体月日、参与者、战果或数字必须回查所列材料，不能将单一叙事当作定论。","《太祖实录》洪武元年条；《明史·兵志》及相关列传；边镇、地方志或对方材料","从军令、报称兵额、补给与地方后果之间的差距研究行动能力","前期边防、地方武装或跨区域资源调动的压力推动了该行动。","它改变了后续调兵、补给或地方秩序的条件；战果和伤亡须分开核对。","chapters/ch01-hongwu-jianwen-yongle.tex","annalistic_record","《太祖实录》洪武元年条；《明史·兵志》及相关列传；边镇、地方志或对方材料","译写候选以编年材料定位；实录记载反映朝廷选择，崇祯期须另以奏疏、地方及敌对政权材料交叉。"
"ML-1368-002","1368（洪武元年）一月23日","明、后金（清）与辽东诸势力","朱元璋自立为明朝洪武皇帝（注意明清使用年号而不是庙名）","编年候选的年序可由官修与后出材料交叉；具体月日、参与者、战果或数字必须回查所列材料，不能将单一叙事当作定论。","《太祖实录》洪武元年条；《明史·本纪》及相关列传；诏令、奏疏或会典版本","从诏令、奏议和人事网络的不同记录研究决策过程","继承、官僚协调或皇权运作的压力使问题进入朝廷程序。","它影响后续人事与政策议程；动机和派系标签不能由单一叙事裁定。","chapters/ch01-hongwu-jianwen-yongle.tex","annalistic_record","《太祖实录》洪武元年条；《明史·本纪》及相关列传；诏令、奏疏或会典版本","译写候选以编年材料定位；实录记载反映朝廷选择，崇祯期须另以奏疏、地方及敌对政权材料交叉。"
"ML-1368-003","1368（洪武元年）二月17日","明","明军攻克福建，俘获陈有定，并处决","编年候选的年序可由官修与后出材料交叉；具体月日、参与者、战果或数字必须回查所列材料，不能将单一叙事当作定论。","《太祖实录》洪武元年条；《明史·兵志》及相关列传；边镇、地方志或对方材料","从军令、报称兵额、补给与地方后果之间的差距研究行动能力","前期边防、地方武装或跨区域资源调动的压力推动了该行动。","它改变了后续调兵、补给或地方秩序的条件；战果和伤亡须分开核对。","chapters/ch01-hongwu-jianwen-yongle.tex","annalistic_record","《太祖实录》洪武元年条；《明史·兵志》及相关列传；边镇、地方志或对方材料","译写候选以编年材料定位；实录记载反映朝廷选择，崇祯期须另以奏疏、地方及敌对政权材料交叉。"
"ML-1368-004","1368（洪武元年）三月1日","明","明军攻克山东","编年候选的年序可由官修与后出材料交叉；具体月日、参与者、战果或数字必须回查所列材料，不能将单一叙事当作定论。","《太祖实录》洪武元年条；《明史·兵志》及相关列传；边镇、地方志或对方材料","从军令、报称兵额、补给与地方后果之间的差距研究行动能力","前期边防、地方武装或跨区域资源调动的压力推动了该行动。","它改变了后续调兵、补给或地方秩序的条件；战果和伤亡须分开核对。","chapters/ch01-hongwu-jianwen-yongle.tex","annalistic_record","《太祖实录》洪武元年条；《明史·兵志》及相关列传；边镇、地方志或对方材料","译写候选以编年材料定位；实录记载反映朝廷选择，崇祯期须另以奏疏、地方及敌对政权材料交叉。"
"ML-1368-005","1368（洪武元年）四月16日","明","明军攻克开封","编年候选的年序可由官修与后出材料交叉；具体月日、参与者、战果或数字必须回查所列材料，不能将单一叙事当作定论。","《太祖实录》洪武元年条；《明史·兵志》及相关列传；边镇、地方志或对方材料","从军令、报称兵额、补给与地方后果之间的差距研究行动能力","前期边防、地方武装或跨区域资源调动的压力推动了该行动。","它改变了后续调兵、补给或地方秩序的条件；战果和伤亡须分开核对。","chapters/ch01-hongwu-jianwen-yongle.tex","annalistic_record","《太祖实录》洪武元年条；《明史·兵志》及相关列传；边镇、地方志或对方材料","译写候选以编年材料定位；实录记载反映朝廷选择，崇祯期须另以奏疏、地方及敌对政权材料交叉。"
"ML-1368-006","1368（洪武元年）四月18日","明","明军到达广州并接受何震的投降","编年候选的年序可由官修与后出材料交叉；具体月日、参与者、战果或数字必须回查所列材料，不能将单一叙事当作定论。","《太祖实录》洪武元年条；《明史·兵志》及相关列传；边镇、地方志或对方材料","从军令、报称兵额、补给与地方后果之间的差距研究行动能力","前期边防、地方武装或跨区域资源调动的压力推动了该行动。","它改变了后续调兵、补给或地方秩序的条件；战果和伤亡须分开核对。","chapters/ch01-hongwu-jianwen-yongle.tex","annalistic_record","《太祖实录》洪武元年条；《明史·兵志》及相关列传；边镇、地方志或对方材料","译写候选以编年材料定位；实录记载反映朝廷选择，崇祯期须另以奏疏、地方及敌对政权材料交叉。"
"ML-1368-007","1368（洪武元年）四月25日","明","明军击败阔克帖木儿并占领洛阳","编年候选的年序可由官修与后出材料交叉；具体月日、参与者、战果或数字必须回查所列材料，不能将单一叙事当作定论。","《太祖实录》洪武元年条；《明史·兵志》及相关列传；边镇、地方志或对方材料","从军令、报称兵额、补给与地方后果之间的差距研究行动能力","前期边防、地方武装或跨区域资源调动的压力推动了该行动。","它改变了后续调兵、补给或地方秩序的条件；战果和伤亡须分开核对。","chapters/ch01-hongwu-jianwen-yongle.tex","annalistic_record","《太祖实录》洪武元年条；《明史·兵志》及相关列传；边镇、地方志或对方材料","译写候选以编年材料定位；实录记载反映朝廷选择，崇祯期须另以奏疏、地方及敌对政权材料交叉。"
