"id","date","polity","event","confidence","core_sources","modern_direction","cause","consequence","target"
"TK-0280-SUN-HAO-SURRENDER","太康元年三月（280年）","西晋与孙吴","王濬舰队抵建业，孙皓出降，孙吴灭亡，西晋完成全国统一","建业降附、孙吴灭亡和统一结果可靠；王濬与王浑的功绩争议、降仪细节、战后安置和统一的实际覆盖范围有争议","《晋书·武帝纪》；《晋书·王濬传》；《三国志·孙皓传》；《建康实录》","孙吴灭亡、建业降附与西晋统一研究","晋军沿江连续突破，吴的地方将领和中央难以重建防线，建业在军事与政治上同时孤立","自220年以来的三国并立结束，西晋接收吴的州郡与官民；统一不等于地方秩序、赋役和江南社会立即无缝整合","chapters/ch01-western-jin.tex"
"JH-0281-JI-TOMB-BAMBOO","太康二年（281年）","西晋","汲郡魏襄王墓出土竹书，朝廷命荀勖、和峤等整理其书写材料","发掘与入藏事实可靠；墓主认定、竹书篇章原貌和今本《竹书纪年》与原简关系有争议","《晋书·武帝纪》；《晋书·束皙传》；《荀勖传》；汲郡魏襄王墓出土竹书","西晋秘阁整理、汲冢书传本与战国史书重构研究","盗发王墓使大批竹简进入官方视野，朝廷需要识读古文字并编目这些异于经传的材料","竹书成为西晋知识与校书活动的重要资源，也为后世重建先秦纪年留下传本分歧","chapters/ch01-western-jin.tex"
"JH-0289-YANG-JUN-REGENT","太熙元年（289年）","西晋","武帝病重时以外戚杨骏受遗诏辅政，围绕太子司马衷的继承安排集中于宫廷","受遗辅政与杨骏居要职可靠；遗诏措辞、武帝真实意向和其他顾命大臣的作用有争议","《晋书·武帝纪》；《晋书·杨骏传》；《资治通鉴·晋纪》","西晋外戚辅政、遗诏政治与宫城军权研究","武帝年老而皇太子政治能力备受质疑，杨氏既掌后族又控制中枢官署","外戚辅政的脆弱结构为次年权力冲突预设了条件","chapters/ch01-western-jin.tex"
"JH-0290-WU-EMPEROR-DEATH","太熙元年四月（290年）","西晋","司马炎去世，惠帝司马衷即位，杨骏以太傅录尚书事主持朝政","卒年、继位与杨骏辅政可靠；惠帝初政的实际决策链和宫中诏令形成过程有争议","《晋书·武帝纪》；《晋书·惠帝纪》；《晋书·杨骏传》","西晋统一后继承、外戚与官僚权力转换研究","统一期的皇权继承未能建立可约束后族与宗王的稳定程序","中央权力迅速转入杨氏与皇后贾氏的竞争，太康秩序开始瓦解","chapters/ch01-western-jin.tex"
"JH-0291-JIA-OVERTHROWS-YANG","永平元年（291年）","西晋","贾后联络楚王司马玮等发动政变，杨骏被杀，杨氏外戚集团被清除","政变、杨骏被杀和杨氏失势可靠；贾后、司马玮与禁军将领各自谋划及诏令真伪有争议","《晋书·惠帝纪》；《晋书·贾后传》；《晋书·杨骏传》；《资治通鉴·晋纪》","贾后政变、宫廷武力与西晋外戚政治研究","杨骏排斥异己并限制贾后参与朝政，皇后遂借宗王和宫卫改变权力格局","外戚专权并未被制度性解决，宫廷政变成为宗王争夺中枢的先例","chapters/ch01-western-jin.tex"
"JH-0291-LIANG-WEI-PURGE","元康元年（291年）","西晋","汝南王司马亮与卫瓘辅政后又被贾后借楚王司马玮诛杀，司马玮旋即被处死","司马亮、卫瓘遇害及司马玮被杀可靠；先后诏命、贾后责任与辅政集团内部关系有争议","《晋书·惠帝纪》；《晋书·汝南文成王亮传》；《晋书·卫瓘传》；《晋书·楚隐王玮传》","八王之乱前夜的顾命体制、诏令与清洗研究","杨氏倒台后辅政名义落在宗室与重臣手中，但贾后仍控制宫中信息与诏令渠道","连续清洗摧毁了稳定辅政的可能，宗王带兵入京的政治惯例进一步固化","chapters/ch01-western-jin.tex"
"JH-0296-QI-WANNIAN","元康六年至九年（296年至299年）","西晋与关陇氐羌集团","氐族齐万年在关中起兵，西晋多次征讨并长期调动关陇军粮，至299年叛乱被平定","叛乱延续、主要将领和齐万年败亡大体可靠；参与部落、兵员数字与地方民众立场有争议","《晋书·惠帝纪》；《晋书·张方传》；《晋书·江统传》；《资治通鉴·晋纪》","西晋关中军费、氐羌政治与《徙戎论》语境研究","关陇军镇、迁徙人口和土地资源紧张，中央又缺少持久边防与安置方案","战争耗损关中并加深朝臣对边民与迁徙的排斥性讨论，削弱西晋西部防线","chapters/ch01-western-jin.tex"
"JH-0300-HEIR-APPARENT-KILLED","永康元年（300年）","西晋","贾后以谋反罪废杀太子司马遹，皇位继承与宫廷联盟由此公开破裂","太子被废杀可靠；伪造诏书、太子是否被诱逼书写和具体执行者有争议","《晋书·惠帝纪》；《晋书·愍怀太子遹传》；《晋书·贾后传》","西晋皇太子废立、文本伪造与宫廷继承危机研究","太子与贾后长期不睦，太子外家和朝臣网络也使皇后感到威胁","废杀太子给反贾后宗王以动员名义，直接引发司马伦集团的夺权","chapters/ch01-western-jin.tex"
"JH-0301-SIMA-LUN-USURPATION","永宁元年（301年）","西晋","赵王司马伦杀贾后并废惠帝自立为帝，短暂改变西晋帝统","司马伦废立与称帝可靠；其诏册的撰写、朝臣拥立程度和贾后死亡细节有争议","《晋书·惠帝纪》；《晋书·赵王伦传》；《晋书·贾后传》","司马伦篡位、禅让礼仪与宗王政治合法性研究","贾后废杀太子使宫廷失去支持，司马伦及孙秀利用清君侧名义控制禁军","宗王称帝打破皇统禁忌，引起齐王司马冏等诸王联合反击","chapters/ch01-western-jin.tex"
"JH-0301-SIMA-JIONG-COUP","永宁元年（301年）","西晋","齐王司马冏等起兵推翻司马伦，复立惠帝并以大司马辅政","司马伦败死、惠帝复位和司马冏辅政可靠；诸王兵力、洛阳城内响应和战后处置有争议","《晋书·惠帝纪》；《晋书·齐王冏传》；《晋书·赵王伦传》；《资治通鉴·晋纪》","八王之乱早期联盟、都城战事与复辟政治研究","司马伦僭号触犯多数宗室与官僚的利益，地方军镇得以借复辟集结","惠帝虽复位却无自主军权，辅政宗王之间的竞争转为公开军事冲突","chapters/ch01-western-jin.tex"
