"id","date","chronological_band","polity","event","core_sources","source_caveat","actioner_representation","spatial_scope","first_depiction_file"
"EM-1368-DADU","1368（洪武元年）八月","1368-1398_hongwu","明与北元","徐达军进入大都并改称北平","《太祖实录》洪武元年八月条；《明史·太祖本纪》；《高丽史·恭愍王世家》二十一年条","日期可靠；明廷军报不独证城内损失和居民去留","court_and_officials;armed_forces","imperial_or_multi_regional","chapters/anchor-register/hongwu-register.tex"
"EM-1368-GUOZIJIAN","1368（洪武元年）九月","1368-1398_hongwu","明","在南京设国子学以培训中央官员子弟","《太祖实录》洪武元年九月条；《明会典·国子监》；《明史·选举志》","日期较可靠；学校建置不等于生员规模或教学成效","court_and_officials;religious_and_cultural_actors","imperial_or_multi_regional","chapters/anchor-register/hongwu-register.tex"
"ML-1368-001","1368（洪武元年）一月18日","1368-1398_hongwu","明与地方反抗、流动作战集团","红巾起义：胡美攻占福州","《太祖实录》洪武元年条；《明史·兵志》及相关列传；边镇、地方志或对方材料","译写候选以编年材料定位；实录记载反映朝廷选择，崇祯期须另以奏疏、地方及敌对政权材料交叉。","court_and_officials;armed_forces;local_society_and_elites;insurgents_and_mobile_groups","local_or_provincial","chapters/anchor-register/hongwu-register.tex"
"ML-1368-002","1368（洪武元年）一月23日","1368-1398_hongwu","明、后金（清）与辽东诸势力","朱元璋自立为明朝洪武皇帝（注意明清使用年号而不是庙名）","《太祖实录》洪武元年条；《明史·本纪》及相关列传；诏令、奏疏或会典版本","译写候选以编年材料定位；实录记载反映朝廷选择，崇祯期须另以奏疏、地方及敌对政权材料交叉。","court_and_officials;frontier_polities_and_communities","frontier_or_borderland","chapters/anchor-register/hongwu-register.tex"
"ML-1368-003","1368（洪武元年）二月17日","1368-1398_hongwu","明","明军攻克福建，俘获陈有定，并处决","《太祖实录》洪武元年条；《明史·兵志》及相关列传；边镇、地方志或对方材料","译写候选以编年材料定位；实录记载反映朝廷选择，崇祯期须另以奏疏、地方及敌对政权材料交叉。","court_and_officials;armed_forces;local_society_and_elites","local_or_provincial","chapters/anchor-register/hongwu-register.tex"
"ML-1368-004","1368（洪武元年）三月1日","1368-1398_hongwu","明","明军攻克山东","《太祖实录》洪武元年条；《明史·兵志》及相关列传；边镇、地方志或对方材料","译写候选以编年材料定位；实录记载反映朝廷选择，崇祯期须另以奏疏、地方及敌对政权材料交叉。","court_and_officials;armed_forces;local_society_and_elites","local_or_provincial","chapters/anchor-register/hongwu-register.tex"
"ML-1368-005","1368（洪武元年）四月16日","1368-1398_hongwu","明","明军攻克开封","《太祖实录》洪武元年条；《明史·兵志》及相关列传；边镇、地方志或对方材料","译写候选以编年材料定位；实录记载反映朝廷选择，崇祯期须另以奏疏、地方及敌对政权材料交叉。","court_and_officials;armed_forces","imperial_or_multi_regional","chapters/anchor-register/hongwu-register.tex"
"ML-1368-006","1368（洪武元年）四月18日","1368-1398_hongwu","明","明军到达广州并接受何震的投降","《太祖实录》洪武元年条；《明史·兵志》及相关列传；边镇、地方志或对方材料","译写候选以编年材料定位；实录记载反映朝廷选择，崇祯期须另以奏疏、地方及敌对政权材料交叉。","court_and_officials;armed_forces","imperial_or_multi_regional","chapters/anchor-register/hongwu-register.tex"
"ML-1368-007","1368（洪武元年）四月25日","1368-1398_hongwu","明","明军击败阔克帖木儿并占领洛阳","《太祖实录》洪武元年条；《明史·兵志》及相关列传；边镇、地方志或对方材料","译写候选以编年材料定位；实录记载反映朝廷选择，崇祯期须另以奏疏、地方及敌对政权材料交叉。","court_and_officials;armed_forces","imperial_or_multi_regional","chapters/anchor-register/hongwu-register.tex"
"ML-1368-009","1368（洪武元年）七月","1368-1398_hongwu","明","明军攻克广西","《太祖实录》洪武元年条；《明史·兵志》及相关列传；边镇、地方志或对方材料","译写候选以编年材料定位；实录记载反映朝廷选择，崇祯期须另以奏疏、地方及敌对政权材料交叉。","court_and_officials;armed_forces","imperial_or_multi_regional","chapters/anchor-register/hongwu-register.tex"
