"id","date","polity","event","confidence","core_sources","modern_direction","cause","consequence","target","evidence_type","source_locator","source_caveat"
"ST-581-SUI-ACCESSION","开皇元年（581）二月","隋","杨坚受北周静帝禅，建国号隋，改元开皇","A级｜纪年可靠；《隋书》为唐初官修，受禅仪文与动机含胜者叙事","《隋书·高祖纪上》；《北史·隋本纪上》；《资治通鉴》隋纪（开皇元年二月条）","北周末权力移交、关陇集团与受禅礼制研究","杨坚掌握禁军与中枢，宇文氏政权继承基础已被削弱","隋整合关中军政资源，开始再统一进程","chapters/sui/sui-reunification.tex","retrospective_history","《隋书·高祖纪上》；《北史·隋本纪上》；《资治通鉴》隋纪（开皇元年二月条）","纪年可靠；《隋书》为唐初官修，受禅仪文与动机含胜者叙事"
"ST-582-TURKIC-DEFENSE","开皇二年（582）","隋与突厥","沙钵略可汗联结北周旧部南侵，隋以边防与分化策略应对","B级｜年序可靠；突厥内部联系主要见汉文朝廷叙事，须警惕归顺话语","《隋书·高祖纪上》；《隋书·突厥传》；《北史·突厥传》","隋初北边防御、突厥汗国政治与长城军镇研究","突厥利用隋周易代的边防空隙，试图维持北方军事压力","隋将北方威胁与南征分开处理，分化突厥成为可用外交工具","chapters/sui/sui-reunification.tex","retrospective_history","《隋书·高祖纪上》；《隋书·突厥传》；《北史·突厥传》","年序可靠；突厥内部联系主要见汉文朝廷叙事，须警惕归顺话语"
"ST-583-KAIHUANG-CODE","开皇三年（583）","隋","隋廷颁行修定后的开皇律令，减省死刑条目并重整刑名","B级｜制度颁布可靠；后出志书所录条文不等于全国地方执行","《隋书·刑法志》；《北史·刑法志》；《通典·刑法》","开皇律、北朝法律传统与唐律形成研究","北周旧律繁重，新朝需要以成文法统合关东、关中治理传统","开皇律成为唐律的重要前史，实际审判仍须以文书和个案检验","chapters/sui/sui-institutions-and-canal.tex","retrospective_history","《隋书·刑法志》；《北史·刑法志》；《通典·刑法》","制度颁布可靠；后出志书所录条文不等于全国地方执行"
"ST-588-SOUTHERN-CAMPAIGN","开皇八年（588）十月","隋与陈","隋分水陆诸军南下，发动灭陈战争","A级｜纪年可靠；兵力与行军路线多取自官修战功叙事，数字不宜实数化","《隋书·高祖纪下》；《隋书·陈后主纪》；《资治通鉴》隋纪（开皇八年十月条）","隋灭陈战役、长江渡江点与南北军政资源研究","陈朝军政财政衰弱，隋已完成北方整合并取得北边缓冲","长江防线被多路进攻穿透，统一战争进入决定阶段","chapters/sui/sui-reunification.tex","retrospective_history","《隋书·高祖纪下》；《隋书·陈后主纪》；《资治通鉴》隋纪（开皇八年十月条）","纪年可靠；兵力与行军路线多取自官修战功叙事，数字不宜实数化"
"ST-589-CHEN-CONQUEST","开皇九年（589）正月","隋与陈","隋军入建康，陈后主被俘，陈朝覆亡","B级｜核心事实与月份可靠；俘获与宫廷逸事多经亡国叙事修饰","《隋书·高祖纪下》；《隋书·陈后主纪》；《陈书·后主纪》；《资治通鉴》隋纪（开皇九年正月条）","隋陈易代、江南地方接收与建康城市转型研究","隋军渡江后陈廷指挥失灵，江南守军难以形成持久协同","南北分立结束；隋须处理江南户籍、叛乱风险和行政整合","chapters/sui/sui-reunification.tex","retrospective_history","《隋书·高祖纪下》；《隋书·陈后主纪》；《陈书·后主纪》；《资治通鉴》隋纪（开皇九年正月条）","核心事实与月份可靠；俘获与宫廷逸事多经亡国叙事修饰"
"ST-590-JIANGNAN-REBELLION","开皇十年（590）","隋与江南诸州","江南旧陈地区多起反隋，杨素等率军镇压并重建地方控制","B级｜起事与镇压可靠；参与者规模、动机和死亡数字主要来自中央军功叙事","《隋书·高祖纪下》；《隋书·杨素传》；《资治通鉴》隋纪（开皇十年条）","隋初江南叛乱、户籍重编与征役适应研究","新朝清查户口、改置州县并接收陈朝军民，地方对赋役与官吏更替反应强烈","统一由建康易手转为军事镇压和行政编户的地方接管","chapters/sui/sui-reunification.tex","retrospective_history","《隋书·高祖纪下》；《隋书·杨素传》；《资治通鉴》隋纪（开皇十年条）","起事与镇压可靠；参与者规模、动机和死亡数字主要来自中央军功叙事"
"ST-598-GOGURYEO-FIRST-CAMPAIGN","开皇十八年（598）","隋与高句丽","隋水陆军征高句丽，因疾疫、风浪和补给困难撤回","B级｜出兵与撤军可靠；伤亡、船数和战果均为单方记载，须保留高句丽材料缺口","《隋书·高祖纪下》；《隋书·东夷传·高丽》；《资治通鉴》隋纪（开皇十八年条）","隋高句丽战争、辽东海陆交通与东亚外交研究","高句丽扩张与隋统一后的天下秩序发生摩擦，隋试图以远征确立北东方向支配力","远征暴露辽东战争的运输和气候限制，未改变高句丽的独立行动能力","chapters/sui/sui-frontiers.tex","retrospective_history","《隋书·高祖纪下》；《隋书·东夷传·高丽》；《资治通鉴》隋纪（开皇十八年条）","出兵与撤军可靠；伤亡、船数和战果均为单方记载，须保留高句丽材料缺口"
"ST-604-YANGDI-ACCESSION","仁寿四年（604）七月","隋","杨广即帝位，是为隋炀帝","B级｜即位日期可靠；夺嫡与文帝死因细节主要来自唐修亡国叙事，不能当作定论","《隋书·炀帝纪上》；《北史·隋本纪下》；《资治通鉴》隋纪（仁寿四年条）","隋炀帝继承、宫廷叙事与唐初史学研究","文帝晚年继承安排反复，杨广已经营东宫及关陇官僚网络","新君得以推进东都、运河和远征等高动员政策","chapters/sui/sui-institutions-and-canal.tex","retrospective_history","《隋书·炀帝纪上》；《北史·隋本纪下》；《资治通鉴》隋纪（仁寿四年条）","即位日期可靠；夺嫡与文帝死因细节主要来自唐修亡国叙事，不能当作定论"
"ST-605-EASTERN-CAPITAL","大业元年（605）","隋","隋廷营建东都洛阳并迁置人口、仓储和官署","B级｜工程启动可靠；徙民数和宫城规模多为史书夸饰，须以洛阳城址分期校验","《隋书·炀帝纪上》；《隋书·宇文恺传》；隋唐洛阳城遗址考古报告","东都营建、都城双中心与隋代劳役动员研究","关中供给紧张，东都又居运河与关东交通枢纽，炀帝需更直接控制东部资源","洛阳成为东部行政物流中心，也加重徙民、营建和粮运负担","chapters/sui/sui-institutions-and-canal.tex","archaeological_context","《隋书·炀帝纪上》；《隋书·宇文恺传》；隋唐洛阳城遗址考古报告","工程启动可靠；徙民数和宫城规模多为史书夸饰，须以洛阳城址分期校验"
"ST-605-TONGJI-CANAL","大业元年（605）","隋","隋开通通济渠，沟通洛阳、淮河与江都方向水路","B级｜开凿年份可靠；役夫数量和死亡叙事受亡国框架影响，遗存不能证实具体劳力规模","《隋书·炀帝纪上》；《隋书·食货志》；隋唐大运河通济渠考古调查报告","隋代运河线路、漕运能力与劳役区域差异研究","东都建设及南北粮食、军队转运需要稳定水路，既有河道被联结扩展","运河提高跨区域调运能力，也使短期征发成为地方不满来源","chapters/sui/sui-institutions-and-canal.tex","archaeological_context","《隋书·炀帝纪上》；《隋书·食货志》；隋唐大运河通济渠考古调查报告","开凿年份可靠；役夫数量和死亡叙事受亡国框架影响，遗存不能证实具体劳力规模"
