"id","date","chronological_band","polity","event","source_caveat"
"ML-1368-008","1368（洪武元年）五月26日","1368-1398_hongwu","明","明军攻克梧州","译写候选以编年材料定位；实录记载反映朝廷选择，崇祯期须另以奏疏、地方及敌对政权材料交叉。"
"ML-1369-010","1369（洪武二年）","1368-1398_hongwu","明","中都（凤阳）开工建设","译写候选以编年材料定位；实录记载反映朝廷选择，崇祯期须另以奏疏、地方及敌对政权材料交叉。"
"ML-1372-001","1372（洪武五年）四月","1368-1398_hongwu","明","明军在土拉河击败可克帖木儿","译写候选以编年材料定位；实录记载反映朝廷选择，崇祯期须另以奏疏、地方及敌对政权材料交叉。"
"ML-1376-003","1376（洪武九年）十月22日","1368-1398_hongwu","明","洪武皇帝宣布他将接受官员对其统治的直接批评","译写候选以编年材料定位；实录记载反映朝廷选择，崇祯期须另以奏疏、地方及敌对政权材料交叉。"
"EM-1382-YUNNAN-ANNEXATION","1382（洪武十五年）","1368-1398_hongwu","明与云南地方政权","昆明陷落后梁王自尽，明廷在云南设卫所并逐步建置","核心结果可靠；地方降附过程和破坏程度需以地方材料分别核验"
"ML-1388-002","1388（洪武二十一年）","1368-1398_hongwu","明","明蒙毛战争：蒙毛被明军炮兵齐射击败","译写候选以编年材料定位；实录记载反映朝廷选择，崇祯期须另以奏疏、地方及敌对政权材料交叉。"
"EM-1397-SOUTHERN-LIST","1397（洪武三十年）","1368-1398_hongwu","明","会试南北榜案后重取中式者，籍贯分布被纳入取士政治","事件可靠；“南北地域偏私”是朝廷处理语言，不能还原为单一真实原因"
"ML-1400-004","1400（建文二年）九月4日","1399-1424_jianwen_yongle","明","靖难之役：朱棣解除德州之围返回北平","译写候选以编年材料定位；实录记载反映朝廷选择，崇祯期须另以奏疏、地方及敌对政权材料交叉。"
"EM-1403-BEIJING-NAMING","1403（永乐元年）正月","1399-1424_jianwen_yongle","明","北平改称北京，永乐朝开始将其经营为北方政治中心","改名和诏令可靠；改名不等于当年完成迁都或城建"
"ML-1406-002","1406（永乐四年）十一月19日","1399-1424_jianwen_yongle","明","明胡战争：明军入侵大五","译写候选以编年材料定位；实录记载反映朝廷选择，崇祯期须另以奏疏、地方及敌对政权材料交叉。"
"EM-1409-NURGAN","1409（永乐七年）","1399-1424_jianwen_yongle","明与奴儿干地区诸部","明设奴儿干都司，尝试经黑龙江下游联络和安置东北诸部","建置可靠；都司名义辖区不能等同于稳定领土控制"
"ML-1412-004","1412（永乐十年）","1399-1424_jianwen_yongle","明","靖难后军政接收、北方防务与漕运调发的本年记录为重建政权的连续行动提供编年节点。","桥接条目只标示可回查的年度问题与材料链；实录有中央选择性，崇祯期尤其需要奏疏、地方、朝鲜及满文材料交叉。"
"ML-1417-001","1417（永乐十五年）","1399-1424_jianwen_yongle","明","林山起义：黎来领导反抗明朝的起义","译写候选以编年材料定位；实录记载反映朝廷选择，崇祯期须另以奏疏、地方及敌对政权材料交叉。"
"ML-1422-003","1422（永乐二十年）九月3日","1399-1424_jianwen_yongle","明","宝藏之旅：宝船队携暹罗、巴塞苏丹国和亚丁的使节返回中国","译写候选以编年材料定位；实录记载反映朝廷选择，崇祯期须另以奏疏、地方及敌对政权材料交叉。"
"EM-1427-JIAOZHI-WITHDRAWAL","1427（宣德二年）","1425-1464_hongxi_tianshun","明与蓝山起义军","明军在交趾战局恶化后与黎利方面议和，准备撤军","撤军决策和议和可靠；双方战果与谈判条件须比较中越材料"
"ML-1431-004","1431（宣德六年）十二月","1425-1464_hongxi_tianshun","明","宝藏远航：长乐碑刻立，船队从长乐出发","译写候选以编年材料定位；实录记载反映朝廷选择，崇祯期须另以奏疏、地方及敌对政权材料交叉。"
"ML-1435-003","1435（宣德十年）","1425-1464_hongxi_tianshun","明","学校、科举和礼制的本年政策材料为社会流动和国家知识秩序提供可检索锚点。","桥接条目只标示可回查的年度问题与材料链；实录有中央选择性，崇祯期尤其需要奏疏、地方、朝鲜及满文材料交叉。"
"ML-1440-003","1440（正统五年）","1425-1464_hongxi_tianshun","明","漕运、粮饷与军户事务的年度文书显示财政—军事相互约束，定额不能替代实际征解。","桥接条目只标示可回查的年度问题与材料链；实录有中央选择性，崇祯期尤其需要奏疏、地方、朝鲜及满文材料交叉。"
"ML-1446-001","1446（正统十一年）一月","1425-1464_hongxi_tianshun","明","陆川平勉之战：司仁法被处决。","译写候选以编年材料定位；实录记载反映朝廷选择，崇祯期须另以奏疏、地方及敌对政权材料交叉。"
"ML-1449-005","1449（正统十四年）八月30日","1425-1464_hongxi_tianshun","明","土木危机：明军后卫被击败","译写候选以编年材料定位；实录记载反映朝廷选择，崇祯期须另以奏疏、地方及敌对政权材料交叉。"
"MM-1452-HEIR-CHANGE","1452（景泰三年）五月","1425-1464_hongxi_tianshun","明","景泰帝废朱见深太子位，改立其子朱见济为皇太子","废立诏令与日期可靠；促成废立的宫廷协商及各派态度不能仅凭复辟后叙事判定。"
"MM-1457-RESTORATION","1457（天顺元年）正月","1425-1464_hongxi_tianshun","明","石亨、徐有贞、曹吉祥等发动夺门政变，英宗复位","政变、复位和参与者大体可靠；谁先谋划、景泰帝病况及各方动机受天顺朝修史塑形。"
"ML-1462-003","1462（天顺六年）","1425-1464_hongxi_tianshun","明","景泰、天顺时期的继承、人事与诏令链条可在本年材料中定位，政变责任不可由单一史书裁断。","桥接条目只标示可回查的年度问题与材料链；实录有中央选择性，崇祯期尤其需要奏疏、地方、朝鲜及满文材料交叉。"
"ML-1468-001","1468（成化四年）五月","1465-1505_chenghua_hongzhi","明与蒙古诸部","蒙古人在固原起义","译写候选以编年材料定位；实录记载反映朝廷选择，崇祯期须另以奏疏、地方及敌对政权材料交叉。"
"MM-1472-TURPAN-HAMI-SEIZURE","1472（成化八年）","1465-1505_chenghua_hongzhi","明、哈密与吐鲁番","吐鲁番阿黑麻势力进攻哈密，明朝在东天山的册封与朝贡网络受到冲击","进攻及明廷接获边报可靠；哈密城控制、当地王族选择和吐鲁番军队规模主要来自外部奏报，不能视为完整现场记录。"
"ML-1477-001","1477（成化十三年）","1465-1505_chenghua_hongzhi","明","本年灾荒、河工或赈恤的报奏材料可与地方志互校，报灾范围和实际损失应分别记录。","桥接条目只标示可回查的年度问题与材料链；实录有中央选择性，崇祯期尤其需要奏疏、地方、朝鲜及满文材料交叉。"
"ML-1481-001","1481（成化十七年）","1465-1505_chenghua_hongzhi","明","田土、赋役、盐课或漕运的本年政策记录提供财政执行的候选节点，需同地区册籍比照。（材料核查重点：诏令或奏议的形成与发受链）","桥接条目只标示可回查的年度问题与材料链；实录有中央选择性，崇祯期尤其需要奏疏、地方、朝鲜及满文材料交叉。；本条特别核对诏令或奏议的形成与发受链。"
"ML-1486-001","1486（成化二十二年）","1465-1505_chenghua_hongzhi","明","本年灾荒、河工或赈恤的报奏材料可与地方志互校，报灾范围和实际损失应分别记录。","桥接条目只标示可回查的年度问题与材料链；实录有中央选择性，崇祯期尤其需要奏疏、地方、朝鲜及满文材料交叉。"
"ML-1490-004","1490（弘治三年）","1465-1505_chenghua_hongzhi","明","荆襄、广西、辽东或西北的兵事和安置文书构成本年地方秩序重组的线索。（材料核查重点：同年地方材料所见的执行范围）","桥接条目只标示可回查的年度问题与材料链；实录有中央选择性，崇祯期尤其需要奏疏、地方、朝鲜及满文材料交叉。；本条特别核对同年地方材料所见的执行范围。"
"ML-1495-003","1495（弘治八年）","1465-1505_chenghua_hongzhi","明","成化、弘治间中枢任免、厂卫与言路的本年材料标记皇权和官僚关系的调整。（材料核查重点：报称信息的来源、抄传与行政分类）","桥接条目只标示可回查的年度问题与材料链；实录有中央选择性，崇祯期尤其需要奏疏、地方、朝鲜及满文材料交叉。；本条特别核对报称信息的来源、抄传与行政分类。"
"ML-1500-002","1500（弘治十三年）","1465-1505_chenghua_hongzhi","明","清丈、库藏、差役与征解的本年记录显示财政监管压力，整饬命令不等于隐漏已被清除。","桥接条目只标示可回查的年度问题与材料链；实录有中央选择性，崇祯期尤其需要奏疏、地方、朝鲜及满文材料交叉。"
"ML-1504-001","1504（弘治十七年）","1465-1505_chenghua_hongzhi","明与蒙古诸部","大同被蒙古人袭击","译写候选以编年材料定位；实录记载反映朝廷选择，崇祯期须另以奏疏、地方及敌对政权材料交叉。"
"ML-1508-001","1508（正德三年）","1506-1567_zhengde_jiajing","明","正德朝内廷、人事与巡幸相关文书构成本年中枢政治线索，后出道德化叙事须与原奏疏分开。（材料核查重点：诏令或奏议的形成与发受链）","桥接条目只标示可回查的年度问题与材料链；实录有中央选择性，崇祯期尤其需要奏疏、地方、朝鲜及满文材料交叉。；本条特别核对诏令或奏议的形成与发受链。"
"ML-1512-001","1512（正德七年）一月","1506-1567_zhengde_jiajing","明","土匪袭击霸州","译写候选以编年材料定位；实录记载反映朝廷选择，崇祯期须另以奏疏、地方及敌对政权材料交叉。"
"ML-1516-004","1516（正德十一年）","1506-1567_zhengde_jiajing","明","嘉靖初继统礼制的本年文书构成大礼议过程锚点，礼制理由和政治效应不可简化为单一动机。","桥接条目只标示可回查的年度问题与材料链；实录有中央选择性，崇祯期尤其需要奏疏、地方、朝鲜及满文材料交叉。"
